Date of Birth;Gender;Marital Status;Number of Dependents;Occupation;Income;Education Level;Customer Tenure;Customer Segment;Preferred Communication Channel;Credit Score;Credit History Length;Outstanding Loans;Churn Flag;Churn Reason;Churn Date;Balance;NumOfProducts;NumComplaints
1996/10/09;Male;Married;3;Proofreader;32585.52;Diploma;27;Retail;Email;442;18;35822.99;0;;;244547.67;3;6
1975/04/26;Female;Married;5;Clinical cytogeneticist;93508.64;Master's;3;Retail;Phone;643;14;41410.39;0;;;207931.99;3;9
1968/04/20;Male;Married;2;Water quality scientist;33991.6;Bachelor's;3;SME;Phone;706;2;35456.8;0;;;77848.65;1;6
1961/10/09;Female;Single;5;Illustrator;68182.86;Master's;4;Corporate;Email;396;23;10679.66;0;;;98389.11;2;2
1968/02/26;Male;Single;0;Geochemist;87620.03;Diploma;14;Retail;Phone;415;24;16664.95;0;;;93506.03;2;7
1967/03/21;Male;Married;0;Industrial/product designer;96731.47;Diploma;12;Corporate;Email;640;26;9108.58;0;;;146915.38;4;1
1953/02/11;Male;Divorced;5;Data processing manager;46217.84;Master's;18;SME;Phone;677;21;24232.24;0;;;111727.37;4;9
1955/09/22;Male;Single;4;Tour manager;56198.29;Master's;4;SME;Email;781;18;36177.11;0;;;29208.44;1;2
1977/09/08;Male;Divorced;5;Geologist, engineering;13629.01;Bachelor's;17;Retail;Phone;511;3;43880.33;0;;;216145.15;2;6
1966/09/11;Male;Divorced;2;Communications engineer;6980.2;Diploma;16;SME;Email;676;18;8582.83;1;Better Offers Elsewhere;2024/03/03;19069.93;3;6
1995/07/16;Male;Single;0;Copy;71167.86;Bachelor's;8;Corporate;Phone;782;28;24455.56;0;;;209091.81;2;1
2001/11/19;Female;Single;2;Administrator, Civil Service;59860.8;Diploma;29;Corporate;Phone;416;23;35217.63;0;;;218258.79;1;2
1989/05/21;Male;Married;4;Quarry manager;60620.29;Bachelor's;22;Corporate;Phone;540;11;39423.62;0;;;69652.22;1;0
1978/10/27;Female;Married;2;Diplomatic Services operational officer;45156.44;Bachelor's;6;Retail;Email;697;29;43135.05;0;;;63074.82;4;4
1948/08/25;Male;Divorced;5;Production assistant, radio;41465.71;High School;26;SME;Phone;386;28;28777.01;0;;;197996.42;5;4
2000/02/29;Female;Married;5;Journalist, broadcasting;59838.39;Bachelor's;12;Retail;Phone;487;30;11961.3;0;;;229508.73;1;5
2005/05/09;Female;Divorced;4;Land;34801.19;Master's;16;Retail;Phone;580;20;24618.35;0;;;145264.44;2;10
1975/05/20;Male;Married;4;Transport planner;27225.52;Master's;16;Retail;Phone;835;17;32476.69;0;;;36615.38;4;5
2001/05/23;Female;Married;5;Runner, broadcasting/film/video;20835.17;Bachelor's;16;Retail;Email;301;20;30105.04;0;;;211665.51;3;4
1998/06/22;Male;Single;3;Broadcast presenter;44763.36;Bachelor's;17;Retail;Phone;348;9;27342.03;0;;;170810.39;3;3
1950/09/17;Male;Divorced;5;Education officer, community;70561.15;High School;7;Retail;Phone;375;16;26890.87;0;;;38679.73;5;3
1982/06/15;Female;Married;3;Conservation officer, historic buildings;77167.53;Diploma;27;Corporate;Phone;492;4;6374.91;1;Service Issues;2024/04/13;38534.11;2;7
1965/09/19;Male;Married;3;Armed forces operational officer;98799.99;Bachelor's;12;Corporate;Phone;749;5;39582.33;0;;;120899.74;4;8
1960/07/13;Male;Divorced;0;Occupational psychologist;97676.94;Bachelor's;29;Retail;Email;413;25;18595.31;0;;;190897.86;2;5
1963/07/29;Female;Divorced;3;Electronics engineer;74653.9;Master's;22;Corporate;Phone;569;18;15246.23;1;Service Issues;2024/03/21;27198.22;2;4
1997/04/10;Male;Divorced;3;Marine scientist;14421.9;High School;10;Corporate;Email;418;14;16509.16;0;;;97748.25;5;6
1958/03/03;Female;Single;3;Accountant, chartered;15656.28;Diploma;30;Retail;Email;821;13;24643.54;0;;;139133.15;4;10
1992/11/24;Female;Single;3;Educational psychologist;41742.82;Diploma;2;Retail;Email;820;25;49898.88;0;;;131401.01;2;7
1995/12/28;Male;Single;4;Ranger/warden;60284.63;High School;24;Corporate;Email;455;12;49588.26;0;;;172665.82;2;0
1962/05/05;Male;Married;5;Travel agency manager;67655.14;High School;11;SME;Phone;613;10;42786.62;0;;;129482.27;4;5
1973/09/20;Female;Single;3;Chiropodist;86311.86;Bachelor's;3;Retail;Phone;826;30;19854.15;0;;;219409.95;3;1
1953/02/17;Female;Married;1;Freight forwarder;62636.33;High School;23;Corporate;Phone;354;2;49043.3;0;;;199080.2;5;6
1980/12/19;Male;Married;4;Designer, ceramics/pottery;90238.37;Bachelor's;2;SME;Email;402;9;38157.39;1;Service Issues;2024/05/31;42188.3;2;10
1954/01/14;Female;Divorced;1;Geographical information systems officer;40396.27;Diploma;10;Retail;Email;365;12;34181.72;0;;;241474.6;5;10
1953/03/21;Female;Divorced;3;Applications developer;74029.89;Master's;4;SME;Phone;570;22;46593.21;0;;;122629.01;4;10
2005/03/11;Male;Divorced;0;Dentist;23085.0;Bachelor's;22;SME;Email;779;19;35914.5;0;;;248563.04;3;9
1950/02/10;Female;Divorced;2;Electrical engineer;50761.08;Master's;7;SME;Email;391;3;46566.08;0;;;61556.92;4;9
1976/02/10;Female;Married;5;Publishing rights manager;42038.69;Diploma;23;Corporate;Email;335;7;14797.78;0;;;226855.45;5;10
1977/04/09;Male;Married;1;Heritage manager;10836.9;Master's;23;Corporate;Phone;646;26;21863.55;0;;;164488.71;1;4
1961/09/05;Male;Married;0;Surveyor, rural practice;31291.8;Master's;26;Corporate;Email;356;20;49711.73;0;;;141234.34;5;5
1973/12/26;Male;Divorced;2;Environmental manager;49997.15;Master's;8;Corporate;Phone;392;24;32691.81;0;;;72820.71;3;6
1983/09/28;Male;Divorced;2;Oncologist;94891.35;Bachelor's;4;Corporate;Email;604;19;19478.93;0;;;117467.48;3;1
1999/08/29;Male;Married;5;Therapist, sports;47126.33;Bachelor's;25;Corporate;Phone;456;20;11897.83;0;;;84310.64;5;10
1996/05/11;Female;Divorced;5;Audiological scientist;11980.86;Diploma;18;Corporate;Phone;757;14;33286.75;0;;;220615.77;1;6
1990/05/07;Male;Married;2;Health visitor;99937.9;High School;15;Corporate;Phone;734;27;2371.31;0;;;166396.54;3;2
1972/02/12;Female;Divorced;0;Sports administrator;21633.23;Master's;8;SME;Email;607;25;16734.89;0;;;19936.66;4;1
1976/09/11;Male;Divorced;1;Agricultural engineer;47220.55;Diploma;8;Corporate;Email;569;14;21473.95;1;Account Closure;2024/04/13;57371.94;1;7
1959/10/05;Female;Single;2;Economist;71709.54;High School;30;SME;Phone;692;16;12633.11;0;;;186833.0;4;10
1953/07/18;Male;Divorced;5;Diplomatic Services operational officer;89423.81;High School;7;SME;Phone;375;2;49235.32;0;;;88890.14;5;1
1991/05/23;Female;Divorced;1;Lobbyist;84882.14;Bachelor's;8;SME;Email;367;8;3683.14;1;Better Offers Elsewhere;2024/07/09;21190.62;4;10
1963/01/06;Female;Single;5;Tax adviser;81535.2;Bachelor's;14;SME;Phone;449;29;11484.1;0;;;91383.85;4;4
1971/11/22;Male;Married;0;Careers information officer;12404.66;High School;5;SME;Email;529;1;43854.71;0;;;168956.6;5;0
1958/11/15;Female;Married;2;Engineer, civil (consulting);84889.06;Diploma;15;Corporate;Email;319;28;5930.02;0;;;249748.59;1;6
1956/01/05;Male;Divorced;1;Programmer, applications;96951.75;Master's;4;Corporate;Email;782;26;49092.88;0;;;55941.04;3;7
2000/04/08;Male;Single;4;Psychologist, counselling;53107.07;Master's;16;SME;Email;338;25;41737.54;0;;;164264.91;3;5
1980/01/19;Female;Married;2;Politician's assistant;72591.73;Diploma;20;SME;Phone;350;9;33016.91;1;Service Issues;2024/03/20;31190.16;4;5
1996/11/05;Male;Single;2;Engineer, production;78576.53;Bachelor's;22;Corporate;Email;392;11;34535.95;0;;;184520.11;2;4
1991/06/22;Female;Single;0;Advice worker;53506.06;Master's;25;Retail;Email;440;2;19043.82;0;;;205104.63;3;8
1982/10/23;Female;Married;0;Press sub;29156.09;High School;8;Retail;Email;845;17;44010.58;0;;;237164.01;4;3
1971/10/16;Male;Single;1;Insurance risk surveyor;84231.76;Bachelor's;11;SME;Email;334;21;26819.81;0;;;159372.05;2;0
1960/07/28;Male;Married;3;Cartographer;76565.26;High School;14;Corporate;Phone;464;14;2069.6;0;;;107967.85;3;10
2004/10/08;Male;Divorced;4;Chief Technology Officer;66815.78;High School;9;Retail;Phone;613;21;32307.53;0;;;21465.88;5;1
2003/09/25;Male;Married;3;Leisure centre manager;91909.35;Bachelor's;20;SME;Email;575;27;1722.92;0;;;219244.93;1;4
1970/06/10;Male;Married;2;Doctor, hospital;22648.78;Master's;30;SME;Phone;702;11;16800.9;0;;;70283.34;3;1
1959/12/16;Female;Married;1;Warden/ranger;57786.57;Diploma;30;SME;Phone;596;5;28530.88;0;;;225391.61;4;0
1986/03/07;Female;Single;1;Product manager;18874.43;High School;20;Retail;Phone;330;28;25722.19;0;;;167829.52;5;2
1957/02/07;Male;Married;2;Advertising copywriter;29021.31;Master's;25;Retail;Email;807;29;24682.37;0;;;151560.71;3;7
1967/08/29;Female;Single;5;Oncologist;53440.47;Diploma;4;Retail;Phone;307;13;29086.29;0;;;130318.42;1;3
1996/01/24;Male;Single;3;Insurance underwriter;32744.87;Master's;18;SME;Email;353;9;28058.88;0;;;234281.0;5;8
1973/06/09;Male;Married;5;Farm manager;70493.04;High School;13;SME;Email;719;13;23674.44;0;;;41941.21;4;0
2001/06/17;Male;Married;0;Scientist, research (physical sciences);44889.3;Bachelor's;14;Retail;Phone;518;12;43404.91;0;;;193224.16;4;9
1956/08/14;Male;Married;4;Sports coach;8815.82;Bachelor's;9;SME;Email;847;9;38933.92;0;;;203367.57;3;9
1980/02/22;Male;Married;0;Structural engineer;62829.7;Diploma;16;Corporate;Phone;317;19;3104.86;0;;;78432.99;3;3
2002/10/19;Male;Single;5;Accounting technician;33221.66;Diploma;25;Corporate;Phone;827;19;29304.5;0;;;5605.46;4;6
2000/04/05;Female;Married;5;Horticultural therapist;83045.85;Master's;25;Corporate;Phone;706;21;37568.93;0;;;214731.99;3;1
1975/11/24;Male;Married;1;Scientist, marine;31129.54;Bachelor's;1;Corporate;Phone;513;10;40910.69;0;;;69124.71;4;7
1954/02/01;Male;Single;0;Public relations officer;82338.0;Diploma;17;Retail;Email;791;30;8273.34;0;;;30839.81;4;8
1997/04/02;Female;Divorced;4;Fast food restaurant manager;5451.73;Diploma;15;SME;Phone;375;28;10728.35;0;;;203631.79;3;4
1959/12/01;Male;Married;4;Retail buyer;19206.15;Bachelor's;14;Corporate;Phone;753;19;38470.01;0;;;226339.23;1;5
1961/11/08;Female;Divorced;1;Journalist, newspaper;92491.65;Master's;25;Corporate;Email;353;6;24383.75;0;;;121979.19;2;8
1962/07/14;Female;Married;4;Arts development officer;92900.92;Master's;1;SME;Email;819;1;23402.63;0;;;85569.1;3;9
1963/12/20;Female;Married;2;Broadcast presenter;22255.78;Master's;6;SME;Phone;750;29;37198.19;0;;;182984.12;1;8
1954/11/29;Male;Divorced;2;Passenger transport manager;67071.18;Diploma;24;Corporate;Email;616;11;33451.93;0;;;142790.06;3;1
1987/08/29;Male;Single;3;Mining engineer;15735.99;Diploma;25;Retail;Email;677;16;39518.93;0;;;221662.47;3;10
1975/10/28;Male;Single;3;Quality manager;59563.31;Diploma;20;Corporate;Email;367;14;28734.86;1;Service Issues;2024/07/16;52217.81;2;5
1987/03/24;Male;Divorced;1;Civil Service administrator;94581.36;Bachelor's;9;SME;Phone;471;30;46641.44;0;;;169261.13;5;8
2005/12/09;Male;Married;0;Amenity horticulturist;34027.75;Master's;13;SME;Email;621;22;31688.58;0;;;24259.07;4;0
1980/11/10;Male;Married;3;Ceramics designer;11822.77;High School;27;Corporate;Phone;849;9;42583.09;0;;;64251.8;3;6
1959/09/24;Male;Married;2;Water engineer;21102.65;Bachelor's;23;Corporate;Email;828;29;1835.21;0;;;220435.95;3;5
1971/06/01;Male;Married;1;Careers adviser;42247.48;High School;21;Corporate;Email;641;10;14507.94;0;;;104091.39;5;4
1988/08/08;Female;Married;2;Optometrist;99600.49;Diploma;18;SME;Email;687;15;35579.25;0;;;14003.55;5;5
1990/11/29;Female;Divorced;3;Statistician;80364.62;High School;7;SME;Phone;814;19;2074.02;0;;;213123.76;2;9
1973/12/31;Female;Married;3;Civil engineer, consulting;30090.79;Master's;3;Corporate;Email;363;2;42533.34;1;Relocation;2024/03/02;319.91;3;6
1963/05/28;Male;Divorced;0;Diagnostic radiographer;35868.34;Diploma;18;Corporate;Phone;507;12;46964.44;0;;;71008.78;5;0
1978/12/30;Female;Divorced;2;Chief Operating Officer;52570.79;Diploma;17;SME;Phone;748;27;15369.92;0;;;165049.76;1;2
1975/01/28;Female;Divorced;2;Medical illustrator;60762.69;Diploma;7;Retail;Email;542;27;41364.51;0;;;198431.73;3;6
1977/12/06;Male;Divorced;4;Nurse, mental health;49195.14;Diploma;2;Retail;Email;833;18;18426.92;0;;;48868.32;3;3
1956/07/12;Female;Married;0;Government social research officer;74479.02;High School;18;SME;Phone;334;4;16552.8;0;;;166895.54;5;1
2006/06/01;Female;Divorced;0;Toxicologist;22575.51;High School;18;Corporate;Email;618;4;29422.79;0;;;74390.78;2;7
2001/09/25;Female;Single;4;Journalist, broadcasting;94852.97;Bachelor's;25;Corporate;Email;802;15;15554.34;0;;;29709.1;5;1
1983/07/25;Female;Divorced;3;Production assistant, television;67321.46;Bachelor's;22;SME;Email;624;10;36870.84;0;;;163571.67;4;1
1953/10/08;Female;Married;5;Insurance account manager;83003.83;Master's;15;Retail;Email;756;13;13259.68;0;;;76570.42;1;9
1965/04/21;Male;Single;4;Conference centre manager;13369.45;High School;22;SME;Phone;801;11;9355.39;0;;;68539.03;5;0
1988/07/17;Female;Divorced;2;Radiographer, diagnostic;19931.13;Master's;29;SME;Phone;698;25;26701.6;0;;;244005.07;5;7
1975/06/03;Male;Married;0;Sound technician, broadcasting/film/video;40615.18;Bachelor's;14;Corporate;Email;400;12;2034.48;0;;;91672.89;1;6
1966/01/26;Female;Single;1;English as a foreign language teacher;38627.7;Master's;21;Retail;Phone;409;24;28085.63;0;;;246748.14;3;10
2002/03/03;Male;Divorced;3;Astronomer;71586.41;Diploma;27;Retail;Email;461;8;18620.71;0;;;216655.57;1;8
1973/09/29;Female;Divorced;5;Industrial/product designer;25770.26;Diploma;23;Retail;Phone;614;19;31342.97;0;;;237732.31;2;6
1958/12/17;Male;Divorced;1;Engineer, civil (contracting);14337.29;Master's;11;SME;Phone;423;18;39241.0;0;;;223798.93;1;8
1991/06/23;Male;Single;5;IT consultant;6789.27;High School;30;Retail;Email;796;16;31093.36;0;;;93780.22;2;3
1984/01/17;Female;Single;2;Farm manager;89826.36;Bachelor's;24;Corporate;Email;309;19;44146.46;0;;;44785.4;4;3
1982/09/16;Male;Divorced;0;Public house manager;93158.24;High School;4;SME;Email;806;13;12684.14;1;Better Offers Elsewhere;2024/05/05;18820.96;1;9
1957/09/06;Female;Married;0;Journalist, newspaper;30903.74;High School;10;SME;Email;768;26;18655.18;0;;;224873.09;4;1
1985/09/19;Female;Divorced;3;Scientific laboratory technician;71533.91;Master's;11;Retail;Email;320;25;15413.62;0;;;121940.36;4;10
1983/07/28;Male;Divorced;5;Sports administrator;70517.14;Diploma;19;SME;Email;570;20;11869.96;0;;;171494.28;3;10
1951/11/28;Male;Divorced;5;Lawyer;65051.0;High School;28;SME;Phone;707;9;17609.43;0;;;244488.31;2;10
1972/09/02;Female;Single;1;Merchandiser, retail;19533.96;Diploma;3;SME;Phone;476;21;6842.08;0;;;101909.49;2;7
1962/01/07;Female;Married;4;Nurse, adult;51892.68;Diploma;4;Retail;Phone;478;29;46352.86;0;;;201876.46;2;3
1984/04/03;Male;Single;5;Network engineer;34341.22;Bachelor's;25;Corporate;Email;388;21;24326.99;1;Service Issues;2024/01/23;25009.16;4;6
1967/09/08;Female;Single;5;Recruitment consultant;56449.23;Master's;5;Retail;Email;427;21;45875.71;0;;;189087.62;1;3
1973/08/05;Female;Divorced;3;Merchandiser, retail;10410.93;Bachelor's;23;Retail;Phone;424;21;23556.57;0;;;139907.45;4;7
1971/09/14;Male;Married;5;Adult nurse;63876.46;Master's;19;SME;Phone;541;6;33984.85;0;;;110107.17;1;4
1974/04/16;Male;Divorced;3;Psychologist, sport and exercise;6606.14;High School;9;Retail;Phone;559;29;4864.18;0;;;156059.85;3;2
1973/12/23;Male;Married;2;Electronics engineer;66891.35;Bachelor's;14;Corporate;Phone;568;3;22744.09;0;;;99048.3;4;10
1976/02/07;Female;Single;5;Community development worker;16075.59;Bachelor's;7;SME;Phone;482;11;47079.81;1;Service Issues;2024/05/30;19617.52;2;3
1999/10/03;Female;Married;2;Management consultant;88495.81;Bachelor's;17;Corporate;Phone;483;22;4174.2;0;;;88831.83;4;1
1975/11/07;Male;Married;2;Seismic interpreter;55669.37;Bachelor's;9;Retail;Email;432;2;48851.28;1;Account Closure;2024/03/26;15323.93;3;9
1965/09/28;Female;Married;0;Scientist, clinical (histocompatibility and immunogenetics);5071.61;Diploma;5;Retail;Phone;328;29;44149.27;0;;;28137.12;4;2
1992/09/24;Female;Single;4;Engineer, structural;19776.52;Diploma;6;Retail;Email;415;11;24733.92;0;;;225478.28;4;2
1966/08/22;Male;Married;0;Ecologist;96792.21;Bachelor's;22;Corporate;Email;779;14;22437.96;0;;;88440.33;2;6
1961/06/24;Female;Divorced;5;Fine artist;45064.12;Diploma;26;SME;Email;415;17;13464.68;0;;;168572.41;1;8
1989/06/22;Male;Married;2;Armed forces operational officer;65053.37;Master's;6;Retail;Phone;418;14;1185.39;0;;;169802.57;1;8
1971/09/18;Male;Single;3;Designer, ceramics/pottery;93414.12;Master's;23;Retail;Email;805;17;7800.55;0;;;249417.13;3;7
1968/02/21;Female;Divorced;2;Teacher, primary school;57835.63;Bachelor's;29;Corporate;Phone;395;1;32659.12;0;;;115664.56;1;9
1950/11/03;Female;Single;3;Adult nurse;93232.7;Master's;6;Corporate;Email;319;24;1884.58;1;Relocation;2024/04/06;27648.38;4;10
2005/05/12;Male;Married;5;Teacher, secondary school;28754.52;Diploma;4;Retail;Email;429;5;12962.67;1;Better Offers Elsewhere;2024/03/19;74968.69;1;8
1989/05/23;Female;Divorced;5;Maintenance engineer;82267.53;High School;13;SME;Phone;518;9;1155.36;0;;;187067.54;4;10
1994/08/08;Female;Married;3;Scientist, biomedical;23341.3;Diploma;9;Retail;Email;562;21;28471.89;0;;;97327.67;4;7
1988/09/30;Female;Divorced;0;Management consultant;84636.46;Master's;5;Corporate;Email;759;8;3075.66;0;;;85377.14;3;6
2006/04/21;Female;Divorced;3;Energy manager;56740.23;High School;27;Retail;Email;433;19;5877.84;1;Account Closure;2024/04/07;4388.01;1;6
1979/01/08;Female;Single;2;Minerals surveyor;96419.77;Master's;28;SME;Phone;595;1;40266.56;0;;;138540.87;1;8
1954/01/08;Male;Divorced;0;Geoscientist;48780.83;Bachelor's;29;SME;Phone;753;7;41464.58;0;;;189742.79;2;7
1953/09/11;Male;Divorced;2;Logistics and distribution manager;52882.31;High School;13;SME;Email;825;16;40403.4;0;;;131580.06;3;3
1980/09/26;Female;Single;5;Further education lecturer;62344.38;Master's;26;Corporate;Phone;703;14;43193.14;0;;;210200.23;2;1
1983/04/26;Male;Single;2;Lecturer, higher education;29482.65;Bachelor's;7;Corporate;Email;668;18;26196.18;0;;;220971.39;4;6
1989/01/29;Male;Divorced;2;Geoscientist;23084.19;High School;11;SME;Phone;663;8;17394.58;0;;;196716.6;4;1
1987/12/21;Female;Married;0;Trade union research officer;83660.26;High School;21;Corporate;Email;554;29;34906.8;0;;;106679.65;4;6
1957/10/29;Male;Single;0;Interior and spatial designer;31734.01;High School;30;Corporate;Phone;442;5;5685.38;0;;;124538.6;5;7
1982/05/04;Male;Married;3;Print production planner;66313.58;Master's;4;Corporate;Phone;740;22;13675.74;0;;;53288.09;4;10
1999/10/20;Male;Married;1;Trade mark attorney;51045.4;High School;5;Retail;Email;806;19;41753.39;0;;;43715.21;5;0
